fig1b.BY4742,fig1b.fob1,fig1b.hxk2,fig1b.fob1.hxk2,fig4b.by4742.SIR2.ox.2glucose,fig2a.sir2
4,11,2,6,20,5
5,12,4,7,21,5
7,13,11,9,21,6
8,14,12,9,22,9
9,15,14,10,22,9
9,16,14,12,23,9
10,16,15,13,23,9
10,17,15,13,24,10
10,17,16,13,24,10
10,18,16,14,24,10
11,19,18,14,24,10
11,19,18,15,25,10
12,19,18,16,25,10
12,19,18,18,25,11
13,19,19,18,25,11
13,20,19,18,26,11
14,20,19,19,26,11
14,20,20,19,26,11
15,21,20,19,26,11
15,21,20,19,28,11
15,21,21,20,28,11
15,21,21,21,28,11
15,21,22,22,29,12
15,23,22,23,29,12
15,23,23,26,30,12
15,23,23,27,30,12
15,23,23,27,30,12
16,23,24,28,30,12
16,23,24,28,30,12
16,24,25,28,31,12
16,26,25,28,33,13
16,26,25,29,34,13
17,26,26,29,34,13
17,27,26,29,34,13
17,27,26,29,35,13
17,27,27,30,36,13
17,27,27,30,36,13
17,28,27,31,36,13
17,29,28,31,37,13
18,29,28,31,38,13
18,29,28,32,39,13
18,29,29,32,40,14
18,30,29,33,41,14
18,30,29,34,41,14
18,30,29,34,42,14
18,31,29,34,42,14
18,31,30,34,43,14
18,32,30,34,43,14
18,33,30,35,44,14
18,33,31,36,45,14
19,34,31,37,45,14
19,34,31,37,46,15
19,35,31,38,48,15
19,35,31,39,49,15
19,35,32,39,50,15
19,35,33,39,50,15
19,35,33,40,56,15
19,35,34,40,58,15
20,36,34,40,61,15
20,36,34,40,65,15
20,36,34,41,NA,15
20,36,34,41,NA,16
20,37,35,41,NA,16
21,38,36,42,NA,16
21,38,36,42,NA,16
21,38,37,42,NA,16
21,38,37,43,NA,16
21,38,37,43,NA,16
21,38,37,44,NA,16
21,39,37,45,NA,16
21,39,38,45,NA,16
21,39,38,45,NA,17
22,39,38,45,NA,17
22,39,38,46,NA,17
22,39,40,46,NA,17
22,40,40,46,NA,18
22,40,40,46,NA,18
22,40,41,46,NA,18
22,40,41,46,NA,18
22,40,42,48,NA,18
22,41,42,50,NA,18
22,41,42,50,NA,18
23,41,43,51,NA,18
23,42,43,51,NA,19
23,42,44,51,NA,20
23,42,44,51,NA,20
23,42,45,52,NA,21
23,43,46,53,NA,21
23,43,46,53,NA,21
23,43,46,53,NA,23
23,43,46,53,NA,NA
23,44,47,53,NA,NA
23,44,49,53,NA,NA
23,44,49,54,NA,NA
24,45,49,54,NA,NA
24,45,50,54,NA,NA
24,46,51,55,NA,NA
24,46,51,55,NA,NA
24,46,54,55,NA,NA
24,46,57,57,NA,NA
24,46,57,57,NA,NA
24,46,58,58,NA,NA
24,47,58,58,NA,NA
24,47,59,58,NA,NA
25,47,59,58,NA,NA
25,47,59,59,NA,NA
25,47,62,59,NA,NA
25,47,63,59,NA,NA
25,47,64,60,NA,NA
25,47,65,60,NA,NA
25,49,65,60,NA,NA
25,49,67,61,NA,NA
25,49,67,61,NA,NA
25,50,67,61,NA,NA
25,51,68,62,NA,NA
25,51,69,62,NA,NA
25,51,69,62,NA,NA
25,51,71,62,NA,NA
25,52,71,63,NA,NA
25,52,71,63,NA,NA
25,53,NA,64,NA,NA
25,53,NA,66,NA,NA
26,54,NA,66,NA,NA
26,54,NA,66,NA,NA
26,55,NA,66,NA,NA
26,55,NA,66,NA,NA
26,55,NA,66,NA,NA
26,55,NA,67,NA,NA
26,56,NA,67,NA,NA
27,56,NA,68,NA,NA
27,57,NA,70,NA,NA
27,58,NA,70,NA,NA
27,59,NA,70,NA,NA
27,60,NA,71,NA,NA
27,60,NA,73,NA,NA
27,61,NA,73,NA,NA
27,64,NA,73,NA,NA
27,65,NA,73,NA,NA
27,69,NA,74,NA,NA
27,72,NA,74,NA,NA
28,NA,NA,74,NA,NA
28,NA,NA,74,NA,NA
28,NA,NA,75,NA,NA
28,NA,NA,75,NA,NA
28,NA,NA,76,NA,NA
28,NA,NA,77,NA,NA
28,NA,NA,77,NA,NA
28,NA,NA,78,NA,NA
28,NA,NA,78,NA,NA
28,NA,NA,79,NA,NA
28,NA,NA,79,NA,NA
28,NA,NA,83,NA,NA
28,NA,NA,83,NA,NA
29,NA,NA,85,NA,NA
29,NA,NA,89,NA,NA
29,NA,NA,89,NA,NA
29,NA,NA,89,NA,NA
29,NA,NA,93,NA,NA
29,NA,NA,94,NA,NA
29,NA,NA,96,NA,NA
29,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA